seed,task,method,mse,n_queries
0,piecewise_linear,soft,32.154967101415,15360
0,piecewise_linear,sharp,39.47838679949442,15360
0,piecewise_linear,window_soft,32.07301014264424,15360
0,piecewise_linear,knn_mean,38.20152182579041,15360
0,piecewise_linear,linear_attention,32.52424902915955,15360
0,piecewise_linear,linear_global,63.74826461474101,15360
0,piecewise_linear,local_linear_attention,45.3240265528361,15360
0,piecewise_linear,uniform_mix,33.66232342720032,15360
0,piecewise_linear,oracle,27.890264622370402,15360
0,shifted_local_map,soft,1.5333582758903503,1024
0,shifted_local_map,sharp,1.3038060814142227,1024
0,shifted_local_map,window_soft,1.3737893849611282,1024
0,shifted_local_map,knn_mean,1.3086107671260834,1024
0,shifted_local_map,linear_attention,1.7604812681674957,1024
0,shifted_local_map,linear_global,1.5138685976853594,1024
0,shifted_local_map,local_linear_attention,1.0214598663151264,1024
0,shifted_local_map,uniform_mix,1.236055925488472,1024
0,shifted_local_map,oracle,0.8695245211711153,1024
0,smooth_nonlinear_local,soft,0.5141787240902583,15360
0,smooth_nonlinear_local,sharp,0.6449236874779065,15360
0,smooth_nonlinear_local,window_soft,0.5355361784497897,15360
0,smooth_nonlinear_local,knn_mean,0.6440203261872133,15360
0,smooth_nonlinear_local,linear_attention,0.5161053794125716,15360
0,smooth_nonlinear_local,linear_global,0.4153379055360953,15360
0,smooth_nonlinear_local,local_linear_attention,0.47374485035737357,15360
0,smooth_nonlinear_local,uniform_mix,0.4798702009022236,15360
0,smooth_nonlinear_local,oracle,0.29533049824337165,15360
1,piecewise_linear,soft,32.04483380317688,15360
1,piecewise_linear,sharp,39.13229797681173,15360
1,piecewise_linear,window_soft,31.92601070404053,15360
1,piecewise_linear,knn_mean,37.873789103825885,15360
1,piecewise_linear,linear_attention,32.5398477713267,15360
1,piecewise_linear,linear_global,63.16154642105103,15360
1,piecewise_linear,local_linear_attention,45.03694257736206,15360
1,piecewise_linear,uniform_mix,33.471866607666016,15360
1,piecewise_linear,oracle,27.807412830988564,15360
1,shifted_local_map,soft,1.5367473661899567,1024
1,shifted_local_map,sharp,1.2882489711046219,1024
1,shifted_local_map,window_soft,1.3872591853141785,1024
1,shifted_local_map,knn_mean,1.2933346629142761,1024
1,shifted_local_map,linear_attention,1.7754797488451004,1024
1,shifted_local_map,linear_global,1.500875401077792,1024
1,shifted_local_map,local_linear_attention,0.978672806173563,1024
1,shifted_local_map,uniform_mix,1.227072037756443,1024
1,shifted_local_map,oracle,0.8326277013402432,1024
1,smooth_nonlinear_local,soft,0.5137847237288952,15360
1,smooth_nonlinear_local,sharp,0.6427664970358212,15360
1,smooth_nonlinear_local,window_soft,0.5355029058953126,15360
1,smooth_nonlinear_local,knn_mean,0.6416241019964218,15360
1,smooth_nonlinear_local,linear_attention,0.5157568380236626,15360
