seed,task,method,winner_fraction,n_queries
0,piecewise_linear,soft,0.14283854166666668,15360
0,piecewise_linear,sharp,0.04739583333333333,15360
0,piecewise_linear,window_soft,0.3331380208333333,15360
0,piecewise_linear,knn_mean,0.061197916666666664,15360
0,piecewise_linear,linear_attention,0.2674479166666667,15360
0,piecewise_linear,linear_global,0.08697916666666666,15360
0,piecewise_linear,local_linear_attention,0.06100260416666667,15360
0,shifted_local_map,soft,0.015625,1024
0,shifted_local_map,sharp,0.14453125,1024
0,shifted_local_map,window_soft,0.1279296875,1024
0,shifted_local_map,knn_mean,0.091796875,1024
0,shifted_local_map,linear_attention,0.015625,1024
0,shifted_local_map,linear_global,0.138671875,1024
0,shifted_local_map,local_linear_attention,0.4658203125,1024
0,smooth_nonlinear_local,soft,0.013997395833333334,15360
0,smooth_nonlinear_local,sharp,0.07858072916666667,15360
0,smooth_nonlinear_local,window_soft,0.0880859375,15360
0,smooth_nonlinear_local,knn_mean,0.11321614583333334,15360
0,smooth_nonlinear_local,linear_attention,0.07819010416666666,15360
0,smooth_nonlinear_local,linear_global,0.5431640625,15360
0,smooth_nonlinear_local,local_linear_attention,0.084765625,15360
1,piecewise_linear,soft,0.1447265625,15360
1,piecewise_linear,sharp,0.049088541666666666,15360
1,piecewise_linear,window_soft,0.3319010416666667,15360
1,piecewise_linear,knn_mean,0.06516927083333333,15360
1,piecewise_linear,linear_attention,0.25859375,15360
1,piecewise_linear,linear_global,0.08606770833333334,15360
1,piecewise_linear,local_linear_attention,0.064453125,15360
1,shifted_local_map,soft,0.013671875,1024
1,shifted_local_map,sharp,0.1640625,1024
1,shifted_local_map,window_soft,0.0966796875,1024
1,shifted_local_map,knn_mean,0.091796875,1024
1,shifted_local_map,linear_attention,0.0224609375,1024
1,shifted_local_map,linear_global,0.134765625,1024
1,shifted_local_map,local_linear_attention,0.4765625,1024
1,smooth_nonlinear_local,soft,0.013216145833333333,15360
1,smooth_nonlinear_local,sharp,0.0763671875,15360
1,smooth_nonlinear_local,window_soft,0.08841145833333333,15360
1,smooth_nonlinear_local,knn_mean,0.11341145833333334,15360
1,smooth_nonlinear_local,linear_attention,0.07890625,15360
1,smooth_nonlinear_local,linear_global,0.5436197916666666,15360
1,smooth_nonlinear_local,local_linear_attention,0.08606770833333334,15360
2,piecewise_linear,soft,0.13704427083333334,15360
2,piecewise_linear,sharp,0.04928385416666667,15360
2,piecewise_linear,window_soft,0.3321614583333333,15360
2,piecewise_linear,knn_mean,0.06725260416666666,15360
2,piecewise_linear,linear_attention,0.2645182291666667,15360
2,piecewise_linear,linear_global,0.0873046875,15360
2,piecewise_linear,local_linear_attention,0.06243489583333333,15360
2,shifted_local_map,soft,0.015625,1024
2,shifted_local_map,sharp,0.1591796875,1024
2,shifted_local_map,window_soft,0.1025390625,1024
2,shifted_local_map,knn_mean,0.1064453125,1024
2,shifted_local_map,linear_attention,0.0283203125,1024
2,shifted_local_map,linear_global,0.13671875,1024
2,shifted_local_map,local_linear_attention,0.451171875,1024
2,smooth_nonlinear_local,soft,0.016080729166666665,15360
2,smooth_nonlinear_local,sharp,0.07805989583333334,15360
2,smooth_nonlinear_local,window_soft,0.0947265625,15360
2,smooth_nonlinear_local,knn_mean,0.1091796875,15360
2,smooth_nonlinear_local,linear_attention,0.07682291666666667,15360
2,smooth_nonlinear_local,linear_global,0.5404296875,15360
2,smooth_nonlinear_local,local_linear_attention,0.08470052083333333,15360
3,piecewise_linear,soft,0.14375,15360
3,piecewise_linear,sharp,0.0537109375,15360
3,piecewise_linear,window_soft,0.3224609375,15360
3,piecewise_linear,knn_mean,0.06458333333333334,15360
3,piecewise_linear,linear_attention,0.2625,15360
3,piecewise_linear,linear_global,0.086328125,15360
3,piecewise_linear,local_linear_attention,0.06666666666666667,15360
3,shifted_local_map,soft,0.0107421875,1024
3,shifted_local_map,sharp,0.1318359375,1024
3,shifted_local_map,window_soft,0.10546875,1024
3,shifted_local_map,knn_mean,0.08984375,1024
3,shifted_local_map,linear_attention,0.017578125,1024
3,shifted_local_map,linear_global,0.1357421875,1024
3,shifted_local_map,local_linear_attention,0.5087890625,1024
3,smooth_nonlinear_local,soft,0.016080729166666665,15360
3,smooth_nonlinear_local,sharp,0.0767578125,15360
3,smooth_nonlinear_local,window_soft,0.09088541666666666,15360
3,smooth_nonlinear_local,knn_mean,0.11009114583333333,15360
3,smooth_nonlinear_local,linear_attention,0.08196614583333334,15360
3,smooth_nonlinear_local,linear_global,0.5328776041666666,15360
3,smooth_nonlinear_local,local_linear_attention,0.09134114583333333,15360
4,piecewise_linear,soft,0.13756510416666667,15360
4,piecewise_linear,sharp,0.0484375,15360
4,piecewise_linear,window_soft,0.3365885416666667,15360
4,piecewise_linear,knn_mean,0.06399739583333333,15360
4,piecewise_linear,linear_attention,0.26608072916666664,15360
