task,method,winner_fraction_mean,winner_fraction_std
piecewise_linear,knn_mean,0.06444010416666666,0.0021891850838565924
piecewise_linear,linear_attention,0.26382812499999997,0.003457454217298259
piecewise_linear,linear_global,0.08657552083333334,0.0005376516359912118
piecewise_linear,local_linear_attention,0.06313802083333334,0.002411228418890304
piecewise_linear,sharp,0.04958333333333333,0.0024222774923164754
piecewise_linear,soft,0.14118489583333332,0.0036092026060621537
piecewise_linear,window_soft,0.33125,0.005257539371414216
shifted_local_map,knn_mean,0.0955078125,0.006779904280355384
shifted_local_map,linear_attention,0.021484375,0.005027163154778809
shifted_local_map,linear_global,0.13671875,0.0015440808887540916
shifted_local_map,local_linear_attention,0.4755859375,0.021182628870589706
shifted_local_map,sharp,0.1525390625,0.013972012473812046
shifted_local_map,soft,0.01328125,0.0024511524214865495
shifted_local_map,window_soft,0.1048828125,0.013924151267685607
smooth_nonlinear_local,knn_mean,0.11207031249999999,0.0022946794530647866
smooth_nonlinear_local,linear_attention,0.07860677083333334,0.0020528986258488637
smooth_nonlinear_local,linear_global,0.5395833333333333,0.004412698750737142
smooth_nonlinear_local,local_linear_attention,0.08611979166666667,0.0030353486796392665
smooth_nonlinear_local,sharp,0.07791666666666666,0.0013981489266193866
smooth_nonlinear_local,soft,0.014856770833333333,0.0012677772338164665
smooth_nonlinear_local,window_soft,0.09084635416666667,0.002749292764368692
