model,dataset,method,params,n,seeds,lr,val_mean,val_std,test_mean,test_std
GPT-2,WikiText-2,ARC (b=1),25355,3,0 1 2,0.0003,0.7959059801672264,0.0006299194955151674,0.8034314273969696,0.0002627855747838633
GPT-2,WikiText-2,ARC (b=4),76076,3,0 1 2,0.0003,0.824522861986079,0.0011091373736111317,0.8323705551411565,0.0011330983658322028
GPT-2,WikiText-2,LoRA output,67584,3,0 1 2,0.0003,0.7998818704001929,0.0007881955219168011,0.8096174128693775,0.00041585887645585474
GPT-2,WikiText-2,LoRA QKV,135168,3,0 1 2,0.0003,0.8140742768181699,0.001175516547368383,0.8237829586172488,0.0006788477764517611
GPT-2,WikiText-2,Dense LoReFT,67628,3,0 1 2,0.0003,0.8199042330032745,0.0002249310651908975,0.8304093641795105,0.00024194650321528324
GPT-2,PTB,ARC (b=1),25355,3,0 1 2,0.0003,1.607539865402948,0.00969153410359681,1.6028389396235083,0.00919203772227909
GPT-2,PTB,ARC (b=4),76076,3,0 1 2,0.0003,1.7507845397222608,5.427418810302186e-05,1.7345112975558543,0.002178228120009018
GPT-2,PTB,LoRA output,67584,3,0 1 2,0.0003,1.6954261035010925,0.0009262445376279241,1.6804031573054572,0.0030167822841509163
GPT-2,PTB,LoRA QKV,135168,3,0 1 2,0.0003,1.7386390976678756,0.002142082108688747,1.7178393162968375,0.00182500249067131
GPT-2,PTB,Dense LoReFT,67628,3,0 1 2,0.0003,1.7902912289755684,0.0006381380486603185,1.770859505527666,0.0007377678494324922
GPT-2,OWT10k,ARC (b=4),76076,3,0 1 2,0.0003,0.13500708527863026,0.0006148206548685828,0.13288661340872446,0.0009313245170959192
GPT-2,OWT10k,LoRA output,67584,3,0 1 2,0.0003,0.12396907589087884,0.00048556597957145637,0.12322292787333329,0.0006087497284624983
GPT-2,OWT10k,LoRA QKV,135168,3,0 1 2,0.0003,0.12983577232807875,8.893195017043793e-05,0.12847435598572096,0.000646129978272352
GPT-2,OWT10k,Dense LoReFT,67628,3,0 1 2,0.0003,0.12217827731122573,0.00013729528799625464,0.12044370609025161,0.0002751816433739294
Pythia-160M,WikiText-2,ARC (b=4),76076,3,0 1 2,0.0003,0.47462522185598416,0.006737946152078664,0.4718682989500147,0.007707383597615454
Pythia-160M,WikiText-2,LoRA output,67584,3,0 1 2,0.0003,0.4088369992393511,0.01096820321013124,0.40807083703046426,0.011912707732110837
Pythia-160M,WikiText-2,LoRA QKV,135168,3,0 1 2,0.0003,0.4774670913624073,0.012093199515163149,0.47735333943359953,0.011120260875195341
Pythia-160M,WikiText-2,Dense LoReFT,67628,3,0 1 2,0.0003,0.497442053329953,0.003502527870396382,0.49490142524401054,0.0014931933155602753
Pythia-160M,PTB,ARC (b=4),76076,3,0 1 2,0.0003,1.2013198390151518,0.007868959481093528,1.1802992828726968,0.008468647917469332
Pythia-160M,PTB,LoRA output,67584,3,0 1 2,0.0003,1.0386777935606066,0.019508958606464618,1.0290089771775544,0.021409284707007117
Pythia-160M,PTB,LoRA QKV,135168,3,0 1 2,0.0003,1.2099609375000004,0.01831015678389572,1.1880398084170853,0.017390673647534508
Pythia-160M,PTB,Dense LoReFT,67628,3,0 1 2,0.0003,1.250843394886364,0.009789706716464352,1.2292484558207706,0.009114702522778517
Pythia-1B,WikiText-2,ARC (b=1),98320,3,0 1 2,3e-05,0.6994272867838541,0.015391834697809711,0.6689834594726562,0.014735552907692259
Pythia-1B,WikiText-2,ARC (b=4),294976,3,0 1 2,3e-05,0.7203420003255209,0.002216576559683332,0.6901957194010416,0.0012443711657595163
Pythia-1B,WikiText-2,LoRA output,262144,3,0 1 2,3e-05,0.7087453206380209,0.0019696450936083198,0.67498779296875,0.0012514997961883896
Pythia-1B,WikiText-2,LoRA QKV,524288,3,0 1 2,3e-05,0.7104949951171875,0.002315329554760533,0.6742146809895834,0.0033836371913881914
Pythia-1B,WikiText-2,Dense LoReFT,262208,3,0 1 2,3e-05,0.7278264363606771,0.0010036738426013228,0.6907068888346354,0.0005642830032442095
Pythia-1B,PTB,ARC (b=1),98320,3,0 1 2,3e-05,1.3652598063151042,0.0011414893306998563,1.4336954752604167,0.0010903718983499206
Pythia-1B,PTB,ARC (b=4),294976,3,0 1 2,3e-05,1.3757527669270833,0.014792468032206291,1.4440104166666667,0.013325041330542114
Pythia-1B,PTB,LoRA output,262144,3,0 1 2,3e-05,1.3166453043619792,0.0023749036026933577,1.3839314778645833,0.0019171703500040203
Pythia-1B,PTB,LoRA QKV,524288,3,0 1 2,3e-05,1.3421427408854167,0.0019046204446928107,1.4056498209635417,0.001014719033255986
Pythia-1B,PTB,Dense LoReFT,262208,3,0 1 2,3e-05,1.3985137939453125,0.0009836890540335815,1.4676055908203125,0.0010009346929958022
